author_id,given_name.x,family_name.x,publication_count
471265,Kaiyu,Guan,61
2416311,Seth A.,Berkowitz,55
85777,Yong-Fang,Kuo,53
2401196,Deepak,Palakshappa,53
2420049,Hilary K.,Seligman,51
470406,Meredith T.,Niles,41
469008,Bruno,Basso,37
956243,Julia A.,Wolfson,35
2401455,Eric B.,Rimm,35
472145,Bin,Peng,34
83312,Whitney E.,Zahnd,33
2410464,Edward A.,Frongillo,32
83985,Bailey,Houghtaling,31
2435188,Craig,Gundersen,31
85757,James S.,Goodwin,30
2392290,Heather A.,Eicher-Miller,30
2438531,Maureen M.,Black,29
469214,Srinivasulu,Ale,28
2434605,Sheri D.,Weiser,28
469942,Christopher N.,Boyer,26
470588,Tyler J.,Lark,26
470981,Jane,Kolodinsky,26
2392831,Caitlin E.,Caspi,26
2434905,Angela D.,Liese,26
83365,Lars E.,Peterson,25
949088,Joel,Gittelsohn,25
2398936,Cindy W.,Leung,25
2420049,Hilary,Seligman,25
2422747,Sanjay,Basu,25
83637,Jennifer L.,Moss,24
471067,Zach,Conrad,24
475855,Dayton M.,Lambert,24
950402,Thomas A.,Arcury,24
85476,Rodolfo M.,Nayga,23
475024,Christopher J.,Kucharik,23
475592,Madhu,Khanna,23
83238,Julian M.,Alston,22
475078,Carl J.,Bernacchi,22
475158,Suat,Irmak,22
943748,Sara N.,Bleich,22
950244,Jayson L.,Lusk,22
952695,Ashok K.,Mishra,22
2435567,Jason K.,Norsworthy,22
83086,Jan M.,Eberth,21
85450,Mukaila A.,Raji,21
475298,Alice S.,Ammerman,21
476122,Holly K.,Gibbs,21
946857,Pearl A.,McElfish,21
2415452,Anne N.,Thorndike,21
2419531,Leonard E.,Egede,21
470616,Selena,Ahmed,20
471619,Tong,Wang,20
945384,Carmen,Byker Shanks,20
961006,Gerrit,Hoogenboom,20
2388419,Deborah A.,Frank,20
2399726,Dylan B.,Jackson,20
2405778,Dariush,Mozaffarian,20
85278,Brian,Elbel,19
476209,David C.,Love,19
943300,Tony,Kuo,19
949969,Eugene J.,Lengerich,19
2385331,Daphne C.,Hernandez,19
2387669,Alexander G.,Fiks,19
2387874,Niyati,Parekh,19
2434750,Darcy A.,Freedman,19
83415,Stephan J.,Goetz,18
83473,Matthew Lee,Smith,18
85708,Bradley D.,Stein,18
469182,Ryan S.,Miller,18
469808,Evan H.,DeLucia,18
472732,C. Alan,Rotz,18
475087,David B.,Lobell,18
475523,Bruce A.,McCarl,18
475942,John M.,Baker,18
476207,Keeve E.,Nachman,18
949358,Charles C.,Branas,18
950784,Sara,Wilcox,18
961900,Greg,Thoma,18
2385022,Ramon G.,Leon,18
2390776,Rebekah J.,Walker,18
2417907,Sandeep,Kumar,18
83139,Ayal A.,Aizer,17
83351,Paul L.,Nguyen,17
83586,Lindsey,Haynes-Maslow,17
83719,Christine L.,Gray,17
470323,Jillian M.,Deines,17
475422,Keith,Paustian,17
476017,Christian J.,Peters,17
949650,Sanjay,Shete,17
949923,Jill S.,Barnholtz-Sloan,17
950091,Mary Kay,Rayens,17
950535,Jason A.,Mendoza,17
951634,Miguel I.,GÃ³mez,17
953904,Chongya,Jiang,17
2393627,Brenna,Ellison,17
83162,Allison W.,Willis,16
83956,Becca B.R.,Jablonski,16
469988,Jared T.,McGuirt,16
474257,Asim,Zia,16
950338,Peter C.,Damiano,16
951299,Brian S.,Schwartz,16
952027,Sotirios V.,Archontoulis,16
952354,Manoj,Karkee,16
952561,Amit J.,Jhala,16
957765,Wang,Zhou,16
958587,David L.,Jordan,16
961420,Amy L.,Toth,16
2386625,Bethany A.,Bell,16
2387734,Tamara,Dubowitz,16
2394089,Callie L.,Brown,16
2427272,Emily H.,Belarmino,16
